nhom,thang,chu_de_thang,tuan,thu,gio,nghi_thuc,ma_bai,tieu_de,tru_cot_ghi_trong_bai,tru_cot_chuan,care,co_binh_luan_ghim,cua_chuyen_tang,tep_nguon
G1,01,nen mong,2,Thứ Hai,05:45,Khởi Nguyên,,Việc nhỏ nhất bạn làm được ngay sáng nay là gì?,Kết nối & nghi thức,Kết nối & nghi thức,CARE-2,Có,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,2,Thứ Ba,19:45,Giải Mã,,"Bạn đang sửa hiện tượng, thói quen, hay niềm tin?",Nhận thức & tư duy,Giải mã & cơ chế,CARE-3,Có,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,2,Thứ Tư,05:45,Cho Là Nhận,,Trả lời một người đang loay hoay đúng chỗ bạn từng đứng,Thực hành có hướng dẫn,Kết nối & nghi thức,CARE-2,Không,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,2,Thứ Năm,20:00,Hỏi & Đáp Cùng Cố Vấn,,Gỡ rối ba tình huống khó nhất tuần này,Kết nối & nghi thức,Cộng đồng,CARE-3,Có,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,2,Thứ Sáu,19:45,Bằng Chứng,,Ba lần bỏ cuộc và lần thứ tư,Bằng chứng & câu chuyện,Câu chuyện thật,CARE-3,Không,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,2,Thứ Bảy,08:00,Thực Chiến,,Bài tập: vẽ bản đồ một ngày của bạn,Thực hành có hướng dẫn,Kỹ năng & hoạt động,CARE-2,Có,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,2,Chủ nhật,21:00,Tổng Kết & Vinh Danh,,Tuần hai — và con số xanh của cả nhóm,Cộng đồng,Cộng đồng,CARE-3,Không,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,3,Thứ Hai,05:45,Khởi Nguyên,,Tuần trước bạn bỏ dở điều gì — tuần này nhặt lại chứ?,Kết nối & nghi thức,Kết nối & nghi thức,CARE-2,Có,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,3,Thứ Ba,19:45,Giải Mã,,Bạn đang giải quyết vấn đề hay đang né tránh nó?,Nhận thức & tư duy,Giải mã & cơ chế,CARE-3,Có,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,3,Thứ Tư,05:45,Cho Là Nhận,,Gửi một lời cảm ơn bạn nợ ai đó đã lâu,Thực hành có hướng dẫn,Kết nối & nghi thức,CARE-2,Không,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,3,Thứ Năm,20:00,Hỏi & Đáp Cùng Cố Vấn,,Khi mục tiêu và thực tế không gặp nhau,Kết nối & nghi thức,Cộng đồng,CARE-3,Có,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,3,Thứ Sáu,19:45,Bằng Chứng,,Chị ấy bắt đầu bằng mười phút mỗi sáng,Bằng chứng & câu chuyện,Câu chuyện thật,CARE-3,Không,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,3,Thứ Bảy,08:00,Thực Chiến,,Bài tập: bảy câu hỏi dọn nội tâm,Thực hành có hướng dẫn,Kỹ năng & hoạt động,CARE-2,Có,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,3,Chủ nhật,21:00,Tổng Kết & Vinh Danh,,Tuần ba — những câu chúng ta khoanh tròn,Cộng đồng,Cộng đồng,CARE-3,Không,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,4,Thứ Hai,05:45,Khởi Nguyên,,"Một mục tiêu, một người đồng hành",Kết nối & nghi thức,Kết nối & nghi thức,CARE-2,Có,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,4,Thứ Ba,19:45,Giải Mã,,Cái giá thật của việc trì hoãn một quyết định,Nhận thức & tư duy,Giải mã & cơ chế,CARE-3,Có,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,4,Thứ Tư,05:45,Cho Là Nhận,,Chia sẻ một sai lầm để người khác đỡ vấp,Thực hành có hướng dẫn,Kết nối & nghi thức,CARE-2,Không,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,4,Thứ Năm,20:00,Hỏi & Đáp Cùng Cố Vấn,,Bắt đầu lại sau một lần thất bại,Kết nối & nghi thức,Cộng đồng,CARE-3,Có,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,4,Thứ Sáu,19:45,Bằng Chứng,,Ngày tôi thôi đổ lỗi cho hoàn cảnh,Bằng chứng & câu chuyện,Câu chuyện thật,CARE-3,Không,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,4,Thứ Bảy,08:00,Thực Chiến,,Bài tập: chọn một điều để buông trong tuần này,Thực hành có hướng dẫn,Kỹ năng & hoạt động,CARE-2,Có,Không,G1-thang-01-nen-mong.md
G1,01,nen mong,4,Chủ nhật,21:00,Tổng Kết & Vinh Danh · Khép Tháng,,Khép tháng đầu tiên — chúng ta đã đi được tới đâu,Mời gọi hành động,Cộng đồng,CARE-3,Có,Có,G1-thang-01-nen-mong.md
G1,02,nang luc,5,Thứ Hai,05:45,Khởi Nguyên,,Tuần này bạn rèn kỷ luật ở đúng một điểm nào?,Kết nối & nghi thức,Kết nối & nghi thức,CARE-2,Có,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,5,Thứ Ba,19:45,Giải Mã,,Kỷ luật không phải ý chí — nó là thiết kế,Nhận thức & tư duy,Giải mã & cơ chế,CARE-3,Có,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,5,Thứ Tư,05:45,Cho Là Nhận,,Dạy lại điều bạn vừa học được tuần này,Thực hành có hướng dẫn,Kết nối & nghi thức,CARE-2,Không,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,5,Thứ Năm,20:00,Hỏi & Đáp Cùng Cố Vấn,,"Quản trị bản thân: hỏi thẳng, đáp thật",Kết nối & nghi thức,Cộng đồng,CARE-3,Có,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,5,Thứ Sáu,19:45,Bằng Chứng,,Chín mươi ngày và một cuốn sổ,Bằng chứng & câu chuyện,Câu chuyện thật,CARE-3,Không,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,5,Thứ Bảy,08:00,Thực Chiến,,Bài tập: thiết kế lại buổi sáng của bạn,Thực hành có hướng dẫn,Kỹ năng & hoạt động,CARE-2,Có,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,5,Chủ nhật,21:00,Tổng Kết & Vinh Danh,,Tuần đầu tháng Năng lực — và những ma sát vừa được đổi,Cộng đồng,Cộng đồng,CARE-3,Không,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,6,Thứ Hai,05:45,Khởi Nguyên,,Chọn một việc khó và làm nó trước 9 giờ sáng,Kết nối & nghi thức,Kết nối & nghi thức,CARE-2,Có,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,6,Thứ Ba,19:45,Giải Mã,,Năng lượng quan trọng hơn thời gian,Nhận thức & tư duy,Giải mã & cơ chế,CARE-3,Có,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,6,Thứ Tư,05:45,Cho Là Nhận,,Tặng ai đó hai mươi phút của bạn,Thực hành có hướng dẫn,Kết nối & nghi thức,CARE-2,Không,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,6,Thứ Năm,20:00,Hỏi & Đáp Cùng Cố Vấn,,Làm sao giữ nhịp khi công việc quá tải?,Kết nối & nghi thức,Cộng đồng,CARE-3,Có,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,6,Thứ Sáu,19:45,Bằng Chứng,,Anh ấy học lại cách nói chuyện với con,Bằng chứng & câu chuyện,Câu chuyện thật,CARE-3,Không,Không,G1-thang-02-nang-luc.md
