Chuyên đề,Câu hỏi lớn của chuyên đề,Mã dạng,Dạng bài,Đọc vị — dấu hiệu trên đề,Phương pháp,Bước giải (việc → mục đích),Mẹo xử lý,Sai lầm đặc trưng
Số học & tỉ lệ phần trăm,"Đại lượng này thay đổi so với cái gì, và thay đổi bao nhiêu phần của cái đó?",ari.chain,Thay đổi liên tiếp nhiều lần,"Đề có từ ""rồi lại"", ""sau đó"", ""tiếp tục"" giữa hai lần tăng/giảm | Lần thay đổi thứ hai được mô tả là tính trên giá trị đã đổi | Hỏi ""so với ban đầu"" chứ không hỏi từng bước","Không cộng phần trăm — nhân hệ số. Mỗi lần thay đổi a% là một phép nhân với (1 ± a/100); nhiều lần liên tiếp là tích các hệ số. Lý do: phần trăm lần sau tính trên một mẫu số khác lần đầu, mà chỉ hệ số nhân mới mang được thông tin ""mẫu số đã đổi"".","1. Đặt giá trị ban đầu bằng 100 (hoặc bằng 1). → Câu hỏi chỉ hỏi tỉ lệ, nên một con số tròn làm mọi phép tính nhẩm được. | 2. Viết mỗi lần thay đổi thành một hệ số: tăng a% → (1 + a/100), giảm a% → (1 − a/100). → Đưa mọi lần thay đổi về cùng một dạng thì mới nhân được với nhau. | 3. Nhân toàn bộ hệ số lại. → Tích của chúng chính là tỉ lệ cuối so với ban đầu. | 4. Trừ 1 rồi đổi ra phần trăm. → Đề hỏi mức thay đổi, không hỏi giá trị cuối.","Tăng a% rồi giảm a% luôn cho kết quả NHỎ HƠN ban đầu đúng a²/100 phần trăm. Tăng 20% rồi giảm 20% là mất 4%. Nhớ con số này thì loại được ngay phương án ""không đổi"" — phương án nhiễu phổ biến nhất của dạng này.",Cộng gộp hai lần thay đổi. Giảm 10% rồi giảm 20% không phải giảm 30% mà là giảm 28%.
Số học & tỉ lệ phần trăm,"Đại lượng này thay đổi so với cái gì, và thay đổi bao nhiêu phần của cái đó?",ari.rate,Năng suất — công việc chung,"Hai hoặc nhiều người/máy/vòi cùng làm một công việc | Đề cho thời gian làm riêng, hỏi thời gian làm chung (hoặc ngược lại) | Có từ ""cùng làm"", ""cùng chảy"", ""làm chung rồi một người nghỉ""","Quy về năng suất: coi cả công việc là 1, thì người làm xong trong t giờ có năng suất 1/t công việc mỗi giờ. Lý do phải quy về năng suất: thời gian KHÔNG cộng được (làm chung không phải cộng thời gian), nhưng năng suất thì cộng được — mỗi giờ mỗi người đóng góp phần của mình.","1. Đặt cả công việc bằng 1. → Bỏ được đơn vị, mọi năng suất thành phân số đơn giản. | 2. Viết năng suất từng người: 1/t₁, 1/t₂, … → Đây là đại lượng duy nhất cộng được trong bài toán này. | 3. Cộng năng suất của những người đang cùng làm. → Năng suất chung là tổng các năng suất riêng. | 4. Thời gian chung = 1 chia cho năng suất chung. → Nghịch đảo đưa từ ""phần việc mỗi giờ"" về ""số giờ"". | 5. Nếu có người nghỉ giữa chừng: tính phần việc đã xong trước khi nghỉ, phần còn lại chia cho năng suất mới. → Bài toán tách thành hai giai đoạn có năng suất khác nhau.",Hai người làm riêng hết a và b giờ thì làm chung hết ab/(a+b) giờ. Thuộc công thức này thì dạng cơ bản xong trong 20 giây. Kiểm tra nhanh: kết quả phải nhỏ hơn cả a lẫn b.,"Lấy trung bình cộng thời gian. Hai người làm 6 giờ và 3 giờ thì làm chung 2 giờ, không phải 4,5 giờ."
Số học & tỉ lệ phần trăm,"Đại lượng này thay đổi so với cái gì, và thay đổi bao nhiêu phần của cái đó?",ari.mix,Pha trộn — nồng độ,"Có dung dịch, hợp kim, hoặc trộn hai loại có giá/nồng độ khác nhau | Đề cho nồng độ trước và sau khi thêm chất | Xuất hiện cụm ""thêm vào"", ""pha thêm nước"", ""trộn lẫn""","Bám vào đại lượng KHÔNG ĐỔI. Thêm dung môi thì lượng chất tan không đổi; thêm chất tan thì lượng dung môi không đổi; trộn hai dung dịch thì tổng chất tan bằng tổng hai phần. Lý do: nồng độ là tỉ số, mà tỉ số thì không cộng được — chỉ khối lượng mới cộng được.","1. Xác định đại lượng nào giữ nguyên khi thêm/trộn. → Đó là chiếc neo để lập phương trình; chọn sai neo thì phương trình sai từ dòng đầu. | 2. Tính khối lượng chất tan ban đầu = nồng độ × khối lượng dung dịch. → Chuyển từ tỉ lệ sang khối lượng để cộng được. | 3. Viết phương trình cho trạng thái sau, nhớ cả tử và mẫu đều có thể thay đổi. → Thêm chất tan thì khối lượng dung dịch cũng tăng — quên điều này là lỗi số một của dạng này. | 4. Giải và đối chiếu: nồng độ mới phải nằm giữa hai nồng độ đầu (nếu trộn). → Một phép kiểm tra 3 giây loại được đáp án vô lý.","Quy tắc đường chéo: trộn nồng độ a% với b% ra c% thì tỉ lệ khối lượng hai phần là |b − c| : |c − a|. Dạng ""trộn để được nồng độ cho trước"" giải trong đầu bằng quy tắc này.",Thêm 20g chất tan vào 100g dung dịch mà vẫn lấy mẫu số 100. Mẫu số mới là 120.
"Hàm số, phương trình & bất phương trình","Phương trình này có nghiệm không, có bao nhiêu, và nghiệm ấy thỏa điều kiện gì?",alg.param,Tìm tham số để nghiệm thỏa điều kiện,"Có chữ m (hoặc a, k) nằm trong hệ số, không phải trong biến | Câu hỏi bắt đầu bằng ""Tìm m để…"" | Điều kiện nói về nghiệm: hai nghiệm phân biệt, hai nghiệm dương, nghiệm này gấp đôi nghiệm kia","Ba tầng điều kiện, luôn theo thứ tự: (1) tồn tại nghiệm — dấu của Δ; (2) quan hệ giữa các nghiệm — định lý Viète; (3) điều kiện riêng của đề. Lý do phải theo thứ tự: Viète chỉ có nghĩa khi nghiệm đã tồn tại. Bỏ tầng 1 là lỗi phổ biến nhất, và nó cho ra một tập m rộng hơn đáp án đúng.","1. Kiểm tra hệ số bậc hai có chứa m không. Nếu có, xét riêng trường hợp nó bằng 0. → Khi hệ số bậc hai bằng 0 thì phương trình thành bậc nhất — một trường hợp hoàn toàn khác mà đề hay giấu ở đây. | 2. Viết điều kiện Δ theo yêu cầu về số nghiệm. → Đây là cửa vào: không qua được thì mọi tính toán sau đều vô nghĩa. | 3. Dùng Viète đưa điều kiện của đề về tổng và tích nghiệm. → Tránh phải giải nghiệm tường minh — nghiệm chứa căn của m thì gần như không xử lý nổi. | 4. Giải hệ điều kiện, rồi GIAO với điều kiện Δ. → Bước giao là bước hay bị quên nhất; thiếu nó thì đáp án thừa nghiệm.","Hai nghiệm cùng dương ⟺ Δ ≥ 0 và S > 0 và P > 0. Hai nghiệm trái dấu ⟺ P < 0 (không cần xét Δ, vì P < 0 đã kéo theo Δ > 0). Nhớ mẹo thứ hai tiết kiệm được một dòng và tránh được lỗi.",Quên xét trường hợp hệ số bậc hai bằng 0 khi hệ số đó chứa m.
"Hàm số, phương trình & bất phương trình","Phương trình này có nghiệm không, có bao nhiêu, và nghiệm ấy thỏa điều kiện gì?",alg.sym,Biểu thức đối xứng của hai nghiệm,"Đề hỏi x₁² + x₂², 1/x₁ + 1/x₂, |x₁ − x₂|, x₁³ + x₂³ | Không hỏi từng nghiệm riêng lẻ | Phương trình có nghiệm xấu hoặc chứa tham số",Không giải phương trình. Mọi biểu thức đối xứng đều biểu diễn được qua S = x₁ + x₂ và P = x₁x₂ — hai đại lượng lấy thẳng từ hệ số bằng Viète. Lý do: giải ra nghiệm chứa căn rồi thay vào là con đường dài gấp năm và dễ sai dấu.,"1. Viết S = −b/a và P = c/a. → Lấy trực tiếp từ hệ số, không cần Δ. | 2. Biến đổi biểu thức cần tính về dạng chỉ chứa S và P. → Đây là toàn bộ kỹ thuật của dạng này; thuộc vài hằng đẳng thức là đủ. | 3. Thay số và tính. → Đến bước này chỉ còn số học. | 4. Nếu có căn hoặc mẫu: kiểm tra điều kiện tồn tại (Δ ≥ 0, P ≠ 0). → Biểu thức có thể tính ra số đẹp mà nghiệm lại không tồn tại.","Thuộc ba hằng đẳng thức là đủ cho 90% câu: x₁² + x₂² = S² − 2P; (x₁ − x₂)² = S² − 4P; x₁³ + x₂³ = S³ − 3PS.",Tính |x₁ − x₂| bằng cách lấy căn của S² − 4P mà quên rằng biểu thức này phải không âm — tức là quên điều kiện Δ ≥ 0.
"Hàm số, phương trình & bất phương trình","Phương trình này có nghiệm không, có bao nhiêu, và nghiệm ấy thỏa điều kiện gì?",alg.radical,Phương trình và bất phương trình vô tỉ,"Có dấu căn bậc chẵn mà biểu thức dưới căn chứa biến x | Câu hỏi về số nghiệm hoặc tập nghiệm của phương trình, bất phương trình","Đặt điều kiện trước, bình phương sau. Với bất phương trình, bắt buộc chia trường hợp theo dấu của vế không chứa căn — vì bình phương chỉ bảo toàn chiều bất đẳng thức khi cả hai vế cùng không âm.","1. Đặt điều kiện xác định: mọi biểu thức dưới căn bậc chẵn ≥ 0. → Tập xác định thu hẹp trước sẽ loại sẵn nghiệm ngoại lai. | 2. Cô lập căn về một vế. → Bình phương chỉ khử được căn khi nó đứng một mình. | 3. Với bất phương trình: xét dấu vế còn lại, chia hai trường hợp. → Vế phải âm thì bất phương trình hoặc luôn đúng hoặc luôn sai, không cần bình phương. | 4. Bình phương, giải, rồi THỬ LẠI nghiệm vào phương trình gốc. → Bình phương là phép biến đổi không tương đương — nó sinh nghiệm ngoại lai.","Với phương trình dạng √A = √B, chỉ cần A = B kèm một trong hai điều kiện A ≥ 0 (không cần cả hai — chúng tương đương khi A = B).",Bình phương ngay khi vế phải còn chứa dấu âm chưa xét. Đây là nguồn của gần như mọi nghiệm ngoại lai.
"Dãy số, cấp số cộng & cấp số nhân","Quy luật nối số hạng này với số hạng kia là gì, và nó dẫn tới đâu khi n lớn?",seq.identify,Nhận dạng cấp số cộng hay cấp số nhân,"Đề cho vài số hạng đầu và hỏi số hạng thứ n hoặc tổng | Có cụm ""mỗi năm tăng thêm… đơn vị"" (cộng) hoặc ""mỗi năm tăng… phần trăm"" (nhân) | Cho hệ thức truy hồi dạng uₙ₊₁ = uₙ + d hoặc uₙ₊₁ = q·uₙ","Lấy hiệu hai số hạng liên tiếp và lấy thương hai số hạng liên tiếp. Cái nào hằng số thì đó là loại cấp số. Lý do phải thử cả hai: bài toán thực tế thường mô tả bằng lời, và ""tăng thêm 5 triệu"" với ""tăng thêm 5%"" chỉ khác nhau một ký tự nhưng dẫn tới hai công thức hoàn toàn khác.","1. Tính u₂ − u₁ và u₃ − u₂. Nếu bằng nhau → cấp số cộng, d là hiệu đó. → Kiểm tra hai lần chứ không một lần: hai số bất kỳ luôn có một hiệu, ba số mới xác nhận được quy luật. | 2. Nếu hiệu không bằng nhau, tính u₂/u₁ và u₃/u₂. → Thương bằng nhau thì là cấp số nhân với công bội q. | 3. Viết công thức số hạng tổng quát: uₙ = u₁ + (n−1)d hoặc uₙ = u₁·qⁿ⁻¹. → Chỉ số n−1 là chỗ sai nhiều nhất — số hạng đầu ứng với 0 lần cộng/nhân, không phải 1 lần. | 4. Áp công thức tổng nếu đề hỏi tổng. → Cộng tay n số hạng vừa lâu vừa dễ sót.",Kiểm tra công thức vừa lập bằng cách thay n = 1: phải ra đúng u₁. Phép thử 3 giây này bắt được toàn bộ lỗi lệch chỉ số.,"Dùng uₙ = u₁ + n·d thay vì (n−1)·d. Lỗi lệch một số hạng, và đề luôn có sẵn phương án nhiễu cho đúng lỗi này."
"Dãy số, cấp số cộng & cấp số nhân","Quy luật nối số hạng này với số hạng kia là gì, và nó dẫn tới đâu khi n lớn?",seq.growth,Bài toán tăng trưởng thực tế,"Dân số, lãi kép, khấu hao, vi khuẩn sinh sôi | Có mốc ""sau bao nhiêu năm/kỳ"" | Tỉ lệ tăng cho bằng phần trăm","Mô hình cấp số nhân với công bội q = 1 + r. Nếu hỏi ""sau bao lâu thì đạt…"", lấy logarit hai vế — đây là công cụ duy nhất kéo n từ trên số mũ xuống.","1. Xác định giá trị ban đầu và tỉ lệ r mỗi kỳ. → Sai đơn vị kỳ (năm/quý/tháng) là lỗi nặng nhất và không thể sửa ở bước sau. | 2. Viết A = A₀(1 + r)ⁿ. → Mọi bài tăng trưởng đều là một biến thể của công thức này. | 3. Nếu tìm A: thay số. Nếu tìm n: lấy log hai vế, n = log(A/A₀)/log(1+r). → Logarit là phép toán duy nhất đưa số mũ xuống làm hệ số. | 4. Làm tròn n LÊN nếu câu hỏi là ""ít nhất bao nhiêu kỳ"". → Làm tròn xuống cho ra một mốc chưa đạt yêu cầu — đây là bẫy cố ý của dạng này.",Quy tắc 70: số kỳ để một đại lượng tăng gấp đôi ≈ 70/r (r tính theo phần trăm). Lãi 7%/năm thì gấp đôi sau khoảng 10 năm. Dùng để loại phương án trong 5 giây.,"Nhầm lãi đơn với lãi kép. Lãi đơn là cấp số cộng, lãi kép là cấp số nhân."
"Dãy số, cấp số cộng & cấp số nhân","Quy luật nối số hạng này với số hạng kia là gì, và nó dẫn tới đâu khi n lớn?",seq.limit,Giới hạn của dãy,"Có ký hiệu lim hoặc câu hỏi ""khi n tiến ra vô cùng"" | Biểu thức là phân thức của n, hoặc chứa qⁿ","Chia cả tử và mẫu cho lũy thừa bậc cao nhất. Với dãy chứa qⁿ, nhớ rằng qⁿ → 0 khi |q| < 1 — đây là chiếc chìa khóa duy nhất của nhóm này.","1. Tìm bậc cao nhất của n có mặt trong biểu thức. → Nó quyết định mọi thứ; các bậc thấp hơn đều tiến về 0 tương đối. | 2. Chia tử và mẫu cho nⁿ bậc đó. → Biến các số hạng bậc thấp thành 1/n, 1/n², … đều tiến về 0. | 3. Cho mọi 1/nᵏ về 0 rồi đọc kết quả. → Còn lại là tỉ số hai hệ số bậc cao nhất.","So bậc là xong: tử bậc cao hơn → giới hạn vô cùng; mẫu bậc cao hơn → giới hạn 0; bằng bậc → tỉ số hai hệ số đầu. Ba trường hợp này trả lời được hầu hết câu trắc nghiệm mà không cần biến đổi.","Với qⁿ, quên xét |q| > 1 (dãy phân kỳ) hay q = −1 (dãy không có giới hạn)."
Hình học phẳng & không gian,"Hình này có quan hệ gì với hình kia — bằng nhau, đồng dạng, hay chỉ chung một đại lượng?",geo.similar,Tam giác đồng dạng — tỉ số,"Có hai đường thẳng song song cắt hai cạnh của một tam giác | Đề cho tỉ số các đoạn thẳng và hỏi tỉ số đoạn khác | Xuất hiện đường trung bình, đường phân giác, hoặc điểm chia cạnh theo tỉ lệ","Tìm cặp tam giác đồng dạng rồi lập tỉ số các cạnh tương ứng. Nhớ: tỉ số diện tích bằng BÌNH PHƯƠNG tỉ số đồng dạng, tỉ số thể tích bằng LẬP PHƯƠNG. Đây là chỗ đề thi cài bẫy nhiều nhất.","1. Chỉ ra hai tam giác đồng dạng và nêu rõ trường hợp (g-g, c-g-c, c-c-c). → Viết sai thứ tự đỉnh là viết sai toàn bộ tỉ số ở bước sau. | 2. Viết tỉ số các cạnh TƯƠNG ỨNG theo đúng thứ tự đỉnh. → Thứ tự đỉnh quyết định cạnh nào ghép với cạnh nào. | 3. Nếu hỏi diện tích: bình phương tỉ số. Nếu hỏi thể tích: lập phương. → Diện tích là đại lượng hai chiều, thể tích ba chiều. | 4. Đối chiếu kết quả với hình vẽ xem có hợp lý về độ lớn không. → Một tỉ số lớn hơn 1 khi hình nhỏ hơn là dấu hiệu đã lật ngược phân số.","Tỉ số đồng dạng k thì diện tích gấp k², thể tích gấp k³. Đề rất hay cho k = 1/2 rồi hỏi diện tích: đáp án là 1/4 chứ không phải 1/2 — và 1/2 luôn có mặt trong bốn phương án.","Viết tỉ số theo thứ tự đỉnh sai, dẫn tới ghép nhầm cạnh dài với cạnh ngắn."
