Mã phiếu,Chuyên đề,Phần thi,Tỉ trọng trong phần,Số câu trong ngân hàng,Ý lõi phải hiểu,Công thức phải thuộc,Dạng bài & dấu hiệu đọc vị,Bẫy hay mắc,Chiến thuật thời gian,Tiêu chí ôn chắc
HD-TOA-ARI,Số học & tỉ lệ phần trăm,Toán,10%,15,"Phần trăm luôn phải hỏi ""phần trăm của cái gì"" — mẫu số quyết định đáp án. | Hai lần thay đổi liên tiếp là phép nhân hệ số, không phải phép cộng phần trăm. | Bài toán năng suất quy về ""làm được bao nhiêu phần công việc trong một đơn vị thời gian"" thì cộng được.","Tăng a% rồi tăng b%: hệ số = (1 + a/100)(1 + b/100) | Mức tăng tương đối = (giá trị sau − giá trị trước) / giá trị trước | Năng suất chung = tổng các năng suất riêng; thời gian = 1 / năng suất chung | Nồng độ = khối lượng chất tan / khối lượng dung dịch","Giảm giá liên tiếp: Có hai lần giảm, lần sau tính trên giá đã giảm | Năng suất chung: Hai người/máy cùng làm một công việc | Pha trộn dung dịch: Thêm chất tan hoặc thêm dung môi vào dung dịch có sẵn","Cộng gộp hai lần giảm giá thành một lần → Nhân hai hệ số, luôn ra kết quả nhỏ hơn tổng cộng gộp | Lấy chênh lệch chia cho kỳ sau thay vì kỳ gốc → Mẫu số luôn là mốc so sánh, tức là kỳ trước | Thêm chất tan mà quên khối lượng dung dịch cũng tăng → Viết phương trình với cả tử và mẫu đều có x","Dạng này phải xong trong 60 giây. Nếu quá 90 giây, gần như chắc chắn bạn đang lập phương trình sai hướng — đọc lại đề.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-TOA-ALG,"Hàm số, phương trình & bất phương trình",Toán,16%,15,"Dấu của biệt thức quyết định số nghiệm; định lý Viète nối nghiệm với hệ số mà không cần giải. | Bất phương trình chứa căn phải chia trường hợp theo dấu của vế còn lại trước khi bình phương. | Đồ thị cắt trục hoành tại nghiệm của phương trình — hai cách nói của cùng một việc.","Δ = b² − 4ac; Δ' = b'² − ac với b = 2b' | Viète: x₁ + x₂ = −b/a, x₁x₂ = c/a | x₁² + x₂² = (x₁ + x₂)² − 2x₁x₂ | √A ≥ B ⟺ (B < 0 và A ≥ 0) hoặc (B ≥ 0 và A ≥ B²)","Tìm m để phương trình có nghiệm thỏa điều kiện: Xuất hiện tham số m trong hệ số | Biểu thức đối xứng của hai nghiệm: Hỏi x₁² + x₂², 1/x₁ + 1/x₂ mà không hỏi từng nghiệm | Bất phương trình vô tỉ: Có dấu căn ở một vế","Bình phương ngay hai vế mà bỏ sót trường hợp vế phải âm → Luôn xét dấu vế không chứa căn trước | Nhầm (x + y)² với x² + y² → Nhớ số hạng chéo 2xy | Dùng Δ thay Δ' hoặc ngược lại mà không đổi hệ số → Δ' chỉ dùng khi b chẵn, và b' = b/2","Câu Viète nên xong trong 60 giây. Câu chứa tham số m cho phép tới 2 phút — nếu quá, bỏ lại và quay về sau.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-TOA-SEQ,"Dãy số, cấp số cộng & cấp số nhân",Toán,6%,15,"Cấp số cộng là cộng thêm một lượng cố định; cấp số nhân là nhân với một lượng cố định. | Chỉ số n − 1 chứ không phải n là nguồn sai lầm phổ biến nhất của cả chuyên đề này.","CSC: uₙ = u₁ + (n − 1)d; Sₙ = n(u₁ + uₙ)/2 | CSN: uₙ = u₁·qⁿ⁻¹; Sₙ = u₁(qⁿ − 1)/(q − 1) khi q ≠ 1 | Ba số lập CSC ⟺ 2b = a + c; lập CSN ⟺ b² = ac","Tìm số hạng thứ n: Cho u₁ và công sai/công bội | Tính tổng n số hạng đầu: Hỏi ""tổng của n số hạng đầu tiên"" | Ba số lập cấp số: Cho ba số và yêu cầu tìm điều kiện",Dùng u₁ + n·d thay vì u₁ + (n − 1)d → Kiểm nhanh với n = 1: công thức phải trả về đúng u₁ | Dùng công thức tổng CSN khi q = 1 → q = 1 thì Sₙ = n·u₁,"Dạng thuần công thức, 45 giây là đủ. Đây là nhóm câu nên lấy trọn điểm.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-TOA-GEO,Hình học phẳng & không gian,Toán,14%,15,"Tính diện tích bằng hai cách khác nhau là kỹ thuật mạnh nhất trong hình phẳng. | Trong không gian, chiều cao luôn tìm bằng tam giác vuông chứa nó — hãy dựng tam giác đó trước khi tính.","Hệ thức lượng tam giác vuông: h·c = a·b (h là đường cao ứng với cạnh huyền c) | V khối chóp = (1/3)·S đáy·h; V khối lăng trụ = S đáy·h | Hình trụ: S xung quanh = 2πrh, V = πr²h | Hình cầu: S = 4πR², V = (4/3)πR³","Đường cao ứng với cạnh huyền: Tam giác vuông, biết hai cạnh góc vuông | Thể tích chóp đều: Cho cạnh đáy và cạnh bên | Khối tròn xoay: Cho bán kính và chiều cao","Quên hệ số 1/3 của khối chóp → Chóp luôn bằng 1/3 lăng trụ cùng đáy cùng chiều cao | Nhầm nửa đường chéo đáy với cạnh đáy khi tính chiều cao chóp đều → Vẽ hình, đánh dấu chân đường cao ở tâm đáy",Hình không gian cho phép 2 phút. Dành 20 giây đầu để vẽ hình — vẽ hình nhanh hơn là tưởng tượng.,Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-TOA-COO,Hình học tọa độ,Toán,8%,15,Tọa độ biến hình học thành đại số: mọi câu hỏi hình đều có một công thức tương ứng. | Khoảng cách bằng 0 nghĩa là điểm nằm trên hình — đây là bẫy hay gặp chứ không phải lỗi tính.,"d(M, Δ) = |ax₀ + by₀ + c| / √(a² + b²) | Đường tròn x² + y² − 2ax − 2by + c = 0: tâm I(a; b), R = √(a² + b² − c) | AB = √((x₂−x₁)² + (y₂−y₁)² + (z₂−z₁)²) | Trung điểm: tọa độ là trung bình cộng của hai đầu mút",Khoảng cách điểm — đường thẳng: Cho một điểm và một phương trình đường thẳng | Xác định tâm và bán kính đường tròn: Phương trình dạng khai triển | Độ dài đoạn thẳng trong không gian: Cho hai điểm có ba tọa độ,"Quên chuẩn hóa mẫu số √(a² + b²) → Mẫu số luôn là độ dài vectơ pháp tuyến | Lấy c làm −c khi tìm bán kính → Đưa phương trình về đúng dạng chuẩn trước, chú ý dấu","60–75 giây. Nếu công thức đã thuộc, đây là nhóm câu ăn điểm nhanh nhất phần Toán.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-TOA-CAL,"Đạo hàm, tích phân & khảo sát hàm số",Toán,14%,15,"Đạo hàm đổi dấu từ dương sang âm là cực đại; từ âm sang dương là cực tiểu. | Trên một đoạn kín, giá trị lớn nhất chỉ có thể ở điểm tới hạn hoặc ở hai đầu mút — so ba nhóm là xong. | Diện tích giữa hai đồ thị là tích phân của hiệu, lấy hàm ở trên trừ hàm ở dưới.","(xⁿ)' = n·xⁿ⁻¹; ∫xⁿdx = xⁿ⁺¹/(n+1) + C (n ≠ −1) | S = ∫ₐᵇ |f(x) − g(x)| dx | Hoành độ giao điểm là nghiệm của f(x) = g(x) — luôn tìm cận bằng cách này","Cực trị của hàm bậc ba: y' là tam thức bậc hai | GTLN — GTNN trên đoạn: Có đoạn [a; b] trong đề | Diện tích hình phẳng: Cho hai đồ thị và hỏi diện tích","Nhầm cực đại với cực tiểu → Lập bảng biến thiên thay vì nhớ dấu | Quên trừ hàm dưới khi tính diện tích → Vẽ phác hai đồ thị để biết hàm nào ở trên | Bỏ sót giá trị tại hai đầu mút → Luôn tính đủ f(a), f(b) và các điểm tới hạn","Cực trị 60 giây, tích phân cơ bản 60 giây, diện tích hình phẳng 2 phút. Nếu tích phân không ra sau 2 phút, đề có thể đang cài đổi biến — cân nhắc bỏ qua.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-TOA-EXP,Mũ & logarit,Toán,8%,15,"Hàm mũ đơn điệu nên hai lũy thừa cùng cơ số bằng nhau khi và chỉ khi số mũ bằng nhau. | Logarit là phép nghịch đảo của mũ; mọi tính chất đều suy ra từ tính chất của mũ. | Điều kiện xác định của logarit gây mất điểm nhiều hơn cả phần giải.","log_a(xy) = log_a x + log_a y; log_a(x/y) = log_a x − log_a y | log_a(xⁿ) = n·log_a x; log_a b = log_c b / log_c a | a^x = a^y ⟺ x = y (a > 0, a ≠ 1) | Điều kiện: log_a x xác định khi x > 0",Đưa về cùng cơ số: Hai vế là lũy thừa của cùng một số | Gộp logarit rồi giải: Tổng hoặc hiệu hai logarit cùng cơ số | Đặt ẩn phụ: Xuất hiện a^x và a^2x trong cùng phương trình,"Quên đối chiếu điều kiện xác định → Viết điều kiện ra giấy TRƯỚC khi giải, không phải sau | Nhận cả nghiệm âm khi giải x² = 9 trong bài logarit → Loại nghiệm không thỏa điều kiện x > 1 hoặc x > 0","60–90 giây. Viết điều kiện xác định trong 10 giây đầu, việc này tiết kiệm nhiều điểm hơn bất kỳ mẹo nào.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-TOA-COM,Tổ hợp & xác suất,Toán,10%,15,"Có phân biệt thứ tự thì dùng chỉnh hợp; không phân biệt thứ tự thì dùng tổ hợp. Đây là câu hỏi đầu tiên phải trả lời. | Xác suất cổ điển = số kết quả thuận lợi / số kết quả đồng khả năng — mẫu số phải đếm nhất quán với tử số. | Bài ""ít nhất"" thường dễ hơn khi tính phần bù.","C(n, k) = n! / (k!(n−k)!); A(n, k) = n! / (n−k)! | P(A) = |A| / |Ω|; P(Ā) = 1 − P(A) | Quy tắc nhân: chọn theo nhiều bước độc lập thì nhân số cách","Chọn nhóm không phân vai: Từ khóa ""tổ"", ""nhóm"", ""chọn ra k người"" | Lập số có chữ số khác nhau: Từ khóa ""đôi một khác nhau"" | Đúng k phần tử loại A: Từ khóa ""đúng"", khác hẳn với ""ít nhất""","Dùng chỉnh hợp khi đề không phân biệt vai trò → Hỏi: đổi thứ tự có ra kết quả khác không? | Nhầm ""đúng 2"" với ""ít nhất 2"" → Gạch chân từ khóa này ngay khi đọc đề","60 giây cho câu đếm cơ bản, 2 phút cho câu xác suất phức. Nếu mẫu số khó đếm, thử tính phần bù.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-TOA-STA,Thống kê & xử lý số liệu,Toán,14%,15,"Trung bình bị kéo bởi giá trị cực đoan; trung vị thì không. Đề hay khai thác đúng chỗ khác nhau này. | Bài trung bình có trọng số giải bằng cách quay về TỔNG rồi mới chia lại. | Độ lệch chuẩn là căn của phương sai — quên lấy căn là lỗi mất điểm phổ biến nhất.","Trung bình = tổng / số phần tử | Phương sai = Σ(xᵢ − x̄)² / n; độ lệch chuẩn = √phương sai | Tỉ trọng = thành phần / tổng thể × 100% | Tốc độ tăng = (sau − trước) / trước × 100%",Trung bình có trọng số: Cho trung bình của cả nhóm và của một nhóm con | Đọc bảng số liệu: Đề kèm bảng nhiều dòng nhiều cột | Trung vị của dãy: Hỏi giá trị ở giữa,"Dừng ở phương sai mà quên lấy căn → Đọc lại câu hỏi: hỏi phương sai hay độ lệch chuẩn | Nhầm ""tăng bao nhiêu %"" với ""bằng bao nhiêu %"" → Tăng thì lấy chênh lệch; bằng thì lấy trực tiếp | Quên sắp xếp dãy trước khi tìm trung vị → Trung vị chỉ có nghĩa trên dãy đã sắp xếp",Câu đọc bảng số liệu chiếm tỉ trọng lớn trong đề HSA. Dành 30 giây đọc kỹ đầu đề bảng — sai ở bước đọc thì mọi phép tính sau đều vô nghĩa.,Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-VAN-REA,Đọc hiểu văn bản,Văn,28%,20,"Ý chính là ý bao trùm cả văn bản, không phải ý của đoạn hay nhất. | Từ nối là manh mối mạnh nhất về cấu trúc lập luận: ""Nhưng"", ""Tuy nhiên"" báo hiệu đảo chiều; ""Vì vậy"" báo hiệu kết luận. | Câu mở đầu nêu định kiến phổ biến thường là phản đề sẽ bị bác bỏ, không phải quan điểm tác giả.",Quy trình đọc: đọc câu hỏi trước → quét văn bản tìm vùng chứa đáp án → đọc kỹ vùng đó | Phương thức biểu đạt: nghị luận (nêu quan điểm) / thuyết minh (cung cấp tri thức) / tự sự (kể) / miêu tả / biểu cảm,"Xác định ý chính: Hỏi ""ý chính"", ""nhan đề phù hợp nhất"" | Đọc hiểu chi tiết: Hỏi ""theo văn bản"", ""theo tác giả"" | Suy luận hàm ý: Hỏi ""hàm ý"", ""có thể suy ra"" | Nhận diện thao tác lập luận: Hỏi cách tác giả thuyết phục","Chọn đáp án nhắc lại một chi tiết đúng nhưng nhỏ → Ý chính phải phủ được cả ba đoạn, không chỉ một | Chọn ý bị chính văn bản bác bỏ → Tìm từ ""Nhưng""/""Tuy nhiên"" — phần trước nó thường là ý bị bác | Hiểu nghĩa đen ở chỗ tác giả dùng nghĩa chuyển → Tín hiệu như ""trớ trêu thay"", dấu ngoặc kép báo hiệu nghĩa chuyển","Chùm 5 câu / 1 ngữ liệu: 6 phút cho cả chùm. Đọc lướt toàn bài 60 giây trước, rồi mới vào từng câu.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
