Chuyên đề,Bí kíp,Nội dung,Dùng khi
Số học & tỉ lệ phần trăm,Mẫu số là câu hỏi thật,"Mọi câu phần trăm sai đều sai ở mẫu số, gần như không bao giờ sai ở phép chia. Trước khi tính, hãy đọc to trong đầu: ""phần trăm CỦA cái gì"". Nếu không trả lời được câu đó trong 3 giây thì đọc lại đề — đừng tính.",Trước khi đặt bút với mọi câu có dấu %.
Số học & tỉ lệ phần trăm,Đặt 100 thay vì đặt x,"Khi đề chỉ hỏi tỉ lệ mà không cho một con số tuyệt đối nào, đặt giá trị ban đầu bằng 100. Toàn bộ bài trở thành số học nhẩm được, thay vì đại số phải rút gọn x.","Đề không cho giá trị cụ thể nào, chỉ toàn phần trăm."
Số học & tỉ lệ phần trăm,"Ước lượng trước, tính sau","Với đề trắc nghiệm, hãy ước lượng thô đáp án trước khi tính chính xác. Phần lớn câu số học có bốn phương án cách nhau xa, và một ước lượng trong 10 giây đã loại được hai phương án — nếu kết quả tính ra rơi vào phương án đã bị loại thì bạn biết ngay là mình tính sai.","Mọi câu trắc nghiệm số học, đặc biệt khi đang bị áp lực thời gian."
"Hàm số, phương trình & bất phương trình","Δ là cửa, Viète là phòng","Không bao giờ bước vào Viète trước khi qua Δ. Định lý Viète phát biểu về hai nghiệm — nếu chúng không tồn tại thì mọi hệ thức về chúng đều vô nghĩa, dù tính ra vẫn có số.",Mọi câu có tham số trong phương trình bậc hai.
"Hàm số, phương trình & bất phương trình",Thử đáp án ngược,"Với câu trắc nghiệm tìm m, thay thẳng từng giá trị m trong bốn phương án vào và kiểm tra. Với đề bốn phương án, cách này thường nhanh hơn giải xuôi, và không bao giờ sai vì không có phép biến đổi nào để sai.","Bốn phương án là bốn giá trị cụ thể, không phải bốn khoảng."
"Hàm số, phương trình & bất phương trình",Nhìn dấu trước khi giải,"Với câu hỏi về dấu của nghiệm, hãy nhìn dấu của P = c/a trước tiên. P < 0 là kết luận ngay lập tức ""hai nghiệm trái dấu"", không cần tính Δ, không cần S.",Đề hỏi hai nghiệm cùng dấu hay trái dấu.
"Dãy số, cấp số cộng & cấp số nhân",Viết ra ba số hạng đầu,"Khi đề cho hệ thức truy hồi rối rắm, đừng biến đổi ngay — hãy tính u₁, u₂, u₃ bằng số. Quy luật thường lộ ra ngay ở số hạng thứ ba, và bạn tiết kiệm được cả một trang biến đổi.",Đề cho công thức truy hồi thay vì công thức tổng quát.
"Dãy số, cấp số cộng & cấp số nhân",Chỉ số là kẻ thù,"Gần như mọi lỗi trong chuyên đề dãy số là lỗi lệch một chỉ số. Thói quen duy nhất cần rèn: mỗi khi viết xong một công thức tổng quát, thay n = 1 để kiểm tra trước khi dùng.",Mọi lần lập công thức số hạng tổng quát hoặc công thức tổng.
"Dãy số, cấp số cộng & cấp số nhân","Đọc kỹ ""sau n năm"" hay ""vào năm thứ n""","Hai cách nói này lệch nhau đúng một kỳ. ""Sau 5 năm"" là A₀(1+r)⁵; ""vào năm thứ 5"" thường là A₀(1+r)⁴. Đề thi khai thác đúng chỗ này.",Bài toán tăng trưởng có mốc thời gian mô tả bằng lời.
Hình học phẳng & không gian,"Vẽ lại hình, đừng nhìn hình đề","Hình trong đề thường vẽ để gây nhiễu — một tam giác trông như cân mà đề không nói cân. Vẽ lại theo đúng dữ kiện và cố tình vẽ ""xấu"" (không cân, không đều) sẽ ngăn bạn giả định những thứ đề chưa cho.",Mọi câu hình học có hình vẽ kèm theo.
Hình học phẳng & không gian,Đặt ẩn cho cạnh chưa biết,"Khi bí, đặt cạnh chưa biết bằng x và viết mọi đại lượng khác theo x. Bài hình học thường sập thành một phương trình bậc nhất hoặc bậc hai ngay sau đó.",Không nhìn ra quan hệ trực tiếp giữa dữ kiện và câu hỏi.
Hình học phẳng & không gian,Nhớ ba bộ ba Pytago,"(3,4,5), (5,12,13), (8,15,17) và các bội của chúng xuất hiện trong phần lớn đề. Nhận ra ngay thì tiết kiệm được một phép khai căn và tránh sai số.",Gặp tam giác vuông có hai cạnh là số nguyên đẹp.
Hình học tọa độ,Dịch đề sang vectơ ngay dòng đầu,"""Vuông góc"" là tích vô hướng bằng 0. ""Song song"" là hai vectơ tỉ lệ. ""Thẳng hàng"" là ba điểm cho hai vectơ tỉ lệ. Dịch xong thì bài hình học biến thành một hệ phương trình, và bạn không còn phải tưởng tượng hình nữa.",Ngay khi đọc xong đề tọa độ.
